,Game,Nash
0,"( ([[0.03661869, 0.39260415, 0.77912321],
       [0.48155397, 0.89356449, 0.07532613],
       [0.38020072, 0.44036341, 0.65812055]]),  ([[0.50556464, 0.98523422, 0.2314559 ],
       [0.27033034, 0.32839229, 0.69395421],
       [0.81811013, 0.19217918, 0.01192413]]))","[( ([0.32658695, 0.67341305, 0.        ]),  ([0.        , 0.58418158, 0.41581842])), ( ([0.       , 0.6555371, 0.3444629]),  ([0.85185472, 0.        , 0.14814528])), ( ([0.21928441, 0.5606637 , 0.22005189]),  ([0.0738137 , 0.51380044, 0.41238585]))]"
1,"( ([[0.67055552, 0.7775904 , 0.76568668],
       [0.04884742, 0.95778374, 0.89403586],
       [0.45850908, 0.2808834 , 0.07009787]]),  ([[0.05636152, 0.72793642, 0.62527652],
       [0.62138692, 0.27554789, 0.28881413],
       [0.58863424, 0.32155648, 0.5405906 ]]))","[( ([0.3399197, 0.6600803, 0.       ]),  ([0.22470759, 0.77529241, 0.        ]))]"
2,"( ([[0.08914379, 0.65585492, 0.41998728],
       [0.1673628 , 0.30718264, 0.61068618],
       [0.09776485, 0.07490281, 0.73106606]]),  ([[0.31760589, 0.1350233 , 0.06748456],
       [0.84049227, 0.81812512, 0.29796861],
       [0.94793268, 0.42785961, 0.69697804]]))","[( ([0., 1., 0.]),  ([1., 0., 0.]))]"
3,"( ([[0.70795289, 0.55050643, 0.54677386],
       [0.47193283, 0.35540149, 0.07063812],
       [0.74727377, 0.85855826, 0.0511803 ]]),  ([[0.51293592, 0.49315234, 0.57817623],
       [0.34623324, 0.4608024 , 0.79872303],
       [0.78117418, 0.56216867, 0.50167773]]))","[( ([1., 0., 0.]),  ([0., 0., 1.])), ( ([0., 0., 1.]),  ([1., 0., 0.])), ( ([0.81075325, 0.        , 0.18924675]),  ([0.92649127, 0.        , 0.07350873]))]"
4,"( ([[0.52469074, 0.48341383, 0.03095439],
       [0.38737422, 0.27635753, 0.6906859 ],
       [0.78804205, 0.50271126, 0.65005915]]),  ([[0.78648623, 0.34863664, 0.18590097],
       [0.43100352, 0.20233443, 0.17072709],
       [0.75344222, 0.07737935, 0.93437303]]))","[( ([0.        , 0.41008125, 0.58991875]),  ([0.09206267, 0.        , 0.90793733]))]"
5,"( ([[0.18156632, 0.00339933, 0.1302669 ],
       [0.7372153 , 0.98700738, 0.4518175 ],
       [0.87413654, 0.67658639, 0.63169924]]),  ([[0.0838138 , 0.4654816 , 0.31475992],
       [0.54070353, 0.79764266, 0.14156342],
       [0.89015419, 0.59213974, 0.42358104]]))","[( ([0., 1., 0.]),  ([0., 1., 0.])), ( ([0., 0., 1.]),  ([1., 0., 0.])), ( ([0.        , 0.53700789, 0.46299211]),  ([0.69392284, 0.30607716, 0.        ]))]"
6,"( ([[0.79569767, 0.71763326, 0.23415914],
       [0.57423798, 0.65861173, 0.29882269],
       [0.35941267, 0.23572202, 0.63792383]]),  ([[0.98393337, 0.18049183, 0.85929898],
       [0.25685099, 0.42989324, 0.31095765],
       [0.21175455, 0.0082575 , 0.40793503]]))","[( ([1., 0., 0.]),  ([1., 0., 0.])), ( ([0., 0., 1.]),  ([0., 0., 1.])), ( ([0.14909016, 0.85090984, 0.        ]),  ([0.        , 0.52280802, 0.47719198])), ( ([0.61150682, 0.        , 0.38849318]),  ([0.48064382, 0.        , 0.51935618])), ( ([0.        , 0.77066605, 0.22933395]),  ([0.        , 0.44501996, 0.55498004]))]"
7,"( ([[0.51415138, 0.79542122, 0.33376043],
       [0.52044719, 0.27282762, 0.24428663],
       [0.66806716, 0.65151368, 0.57671426]]),  ([[0.89495378, 0.23501037, 0.38532849],
       [0.86299111, 0.55807191, 0.12799083],
       [0.71693682, 0.28820171, 0.70039218]]))","[( ([0., 0., 1.]),  ([1., 0., 0.]))]"
8,"( ([[0.73320092, 0.88553424, 0.50510006],
       [0.8464016 , 0.39420031, 0.29574629],
       [0.78399862, 0.80740608, 0.71199873]]),  ([[0.52994774, 0.4821801 , 0.88521456],
       [0.02985692, 0.33038355, 0.67348259],
       [0.78832779, 0.87705171, 0.55052763]]))","[( ([0.44756392, 0.        , 0.55243608]),  ([0.        , 0.72589191, 0.27410809]))]"
9,"( ([[0.60926578, 0.5699522 , 0.05192808],
       [0.28107011, 0.25321143, 0.71987171],
       [0.84644738, 0.9183772 , 0.39420752]]),  ([[0.12913764, 0.26119102, 0.63646599],
       [0.51523033, 0.73783923, 0.89161426],
       [0.55879355, 0.30855749, 0.02114365]]))","[( ([0., 1., 0.]),  ([0., 0., 1.])), ( ([0., 0., 1.]),  ([1., 0., 0.])), ( ([0.        , 0.65145305, 0.34854695]),  ([0.        , 0.32867818, 0.67132182]))]"
10,"( ([[0.61751434, 0.38592209, 0.70294561],
       [0.2318298 , 0.30915891, 0.55826202],
       [0.81476781, 0.01226294, 0.6391296 ]]),  ([[0.99304525, 0.48595851, 0.51016503],
       [0.35689746, 0.78947154, 0.8753019 ],
       [0.99796234, 0.43025871, 0.41276389]]))","[( ([0., 0., 1.]),  ([1., 0., 0.]))]"
11,"( ([[0.21053091, 0.95665011, 0.22030125],
       [0.94314142, 0.72169246, 0.70402399],
       [0.39384289, 0.51510639, 0.21784361]]),  ([[0.894903  , 0.82018208, 0.45943235],
       [0.81447522, 0.1680542 , 0.40905474],
       [0.37251735, 0.59726442, 0.69149757]]))","[( ([0., 1., 0.]),  ([1., 0., 0.]))]"
12,"( ([[0.41134233, 0.99403639, 0.96584067],
       [0.8133279 , 0.37959639, 0.9029094 ],
       [0.8458127 , 0.23505798, 0.95013478]]),  ([[0.67459109, 0.90215985, 0.97022221],
       [0.05716825, 0.31826247, 0.52201111],
       [0.56840496, 0.16197436, 0.0221268 ]]))","[( ([1., 0., 0.]),  ([0., 0., 1.])), ( ([0., 0., 1.]),  ([1., 0., 0.])), ( ([0.58562324, 0.05265098, 0.36172578]),  ([0.39177295, 0.21615355, 0.3920735 ]))]"
