,Nash
0,"[([0.32658695, 0.67341305, 0.0], [0.0, 0.58418158, 0.41581842]), ([0.0, 0.6555371, 0.3444629], [0.85185472, 0.0, 0.14814528]), ([0.21928441, 0.5606637, 0.22005189], [0.0738137, 0.51380044, 0.41238585]), ([0.32658695, 0.67341305, 0.0], [0.0, 0.58418158, 0.41581842]), ([0.0, 0.6555371, 0.3444629], [0.85185472, 0.0, 0.14814528]), ([0.21928441, 0.5606637, 0.22005189], [0.0738137, 0.51380044, 0.41238585]), ([0.32658695, 0.67341305, 0.0], [0.0, 0.58418158, 0.41581842]), ([0.0, 0.6555371, 0.3444629], [0.85185472, 0.0, 0.14814528]), ([0.21928441, 0.5606637, 0.22005189], [0.0738137, 0.51380044, 0.41238585]), ([0.32658695, 0.67341305, 0.0], [0.0, 0.58418158, 0.41581842])]"
1,"[([0.3399197, 0.6600803, 0.0], [0.22470759, 0.77529241, 0.0]), ([0.3399197, 0.6600803, 0.0], [0.22470759, 0.77529241, 0.0]), ([0.3399197, 0.6600803, 0.0], [0.22470759, 0.77529241, 0.0]), ([0.3399197, 0.6600803, 0.0], [0.22470759, 0.77529241, 0.0]), ([0.3399197, 0.6600803, 0.0], [0.22470759, 0.77529241, 0.0]), ([0.3399197, 0.6600803, 0.0], [0.22470759, 0.77529241, 0.0]), ([0.3399197, 0.6600803, 0.0], [0.22470759, 0.77529241, 0.0]), ([0.3399197, 0.6600803, 0.0], [0.22470759, 0.77529241, 0.0]), ([0.3399197, 0.6600803, 0.0], [0.22470759, 0.77529241, 0.0]), ([0.3399197, 0.6600803, 0.0], [0.22470759, 0.77529241, 0.0])]"
2,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
3,"[([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.81075325, 0.0, 0.18924675], [0.92649127, 0.0, 0.07350873]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.81075325, 0.0, 0.18924675], [0.92649127, 0.0, 0.07350873]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.81075325, 0.0, 0.18924675], [0.92649127, 0.0, 0.07350873]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0])]"
4,"[([0.0, 0.41008125, 0.58991875], [0.09206267, 0.0, 0.90793733]), ([0.0, 0.41008125, 0.58991875], [0.09206267, 0.0, 0.90793733]), ([0.0, 0.41008125, 0.58991875], [0.09206267, 0.0, 0.90793733]), ([0.0, 0.41008125, 0.58991875], [0.09206267, 0.0, 0.90793733]), ([0.0, 0.41008125, 0.58991875], [0.09206267, 0.0, 0.90793733]), ([0.0, 0.41008125, 0.58991875], [0.09206267, 0.0, 0.90793733]), ([0.0, 0.41008125, 0.58991875], [0.09206267, 0.0, 0.90793733]), ([0.0, 0.41008125, 0.58991875], [0.09206267, 0.0, 0.90793733]), ([0.0, 0.41008125, 0.58991875], [0.09206267, 0.0, 0.90793733]), ([0.0, 0.41008125, 0.58991875], [0.09206267, 0.0, 0.90793733])]"
5,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.53700789, 0.46299211], [0.69392284, 0.30607716, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.53700789, 0.46299211], [0.69392284, 0.30607716, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.53700789, 0.46299211], [0.69392284, 0.30607716, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
6,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.14909016, 0.85090984, 0.0], [0.0, 0.52280802, 0.47719198]), ([0.61150682, 0.0, 0.38849318], [0.48064382, 0.0, 0.51935618]), ([0.0, 0.77066605, 0.22933395], [0.0, 0.44501996, 0.55498004]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.14909016, 0.85090984, 0.0], [0.0, 0.52280802, 0.47719198]), ([0.61150682, 0.0, 0.38849318], [0.48064382, 0.0, 0.51935618]), ([0.0, 0.77066605, 0.22933395], [0.0, 0.44501996, 0.55498004])]"
7,"[([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
8,"[([0.44756392, 0.0, 0.55243608], [0.0, 0.72589191, 0.27410809]), ([0.44756392, 0.0, 0.55243608], [0.0, 0.72589191, 0.27410809]), ([0.44756392, 0.0, 0.55243608], [0.0, 0.72589191, 0.27410809]), ([0.44756392, 0.0, 0.55243608], [0.0, 0.72589191, 0.27410809]), ([0.44756392, 0.0, 0.55243608], [0.0, 0.72589191, 0.27410809]), ([0.44756392, 0.0, 0.55243608], [0.0, 0.72589191, 0.27410809]), ([0.44756392, 0.0, 0.55243608], [0.0, 0.72589191, 0.27410809]), ([0.44756392, 0.0, 0.55243608], [0.0, 0.72589191, 0.27410809]), ([0.44756392, 0.0, 0.55243608], [0.0, 0.72589191, 0.27410809]), ([0.44756392, 0.0, 0.55243608], [0.0, 0.72589191, 0.27410809])]"
9,"[([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.65145305, 0.34854695], [0.0, 0.32867818, 0.67132182]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.65145305, 0.34854695], [0.0, 0.32867818, 0.67132182]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.65145305, 0.34854695], [0.0, 0.32867818, 0.67132182]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0])]"
